Date,Price,Volume,% change in vs yesterday,Is ATH,Last 7 days growth,Prediction
43198,6895.81,21427.67317,0.04,0,0.012153219,1
43199,7011.04,34078.29721,0.02,0,-0.007492954,0
43200,6781.55,22326.7281,-0.03,0,-0.084219084,1
43201,6839.56,23997.87118,0.01,0,0.006394844,1
43202,6953.78,64861.59599,0.02,0,0.027146233,1
43203,7922.99,55044.52315,0.14,0,0.200200261,0
43204,7877.48,31621.28636,-0.01,0,0.142357461,1
43205,8004,27946.72044,0.02,0,0.141628061,1
43206,8355.07,36664.06972,0.04,0,0.232029551,0
43207,8064.92,32152.60357,-0.03,0,0.179157724,0
43208,7890.96,26969.04457,-0.02,0,0.134772742,1
43209,8173.99,27113.84746,0.04,0,0.031679959,1
43210,8273.84,39795.33749,0.01,0,0.050315583,1
43211,8852.12,40872.22991,0.07,0,0.105962019,1
43212,8915.31,29458.25348,0.01,0,0.067053897,0
43213,8785.7,25838.11471,-0.01,0,0.089372244,1
43214,8934,46268.79011,0.02,0,0.132181636,1
43215,9618.96,81110.03759,0.08,0,0.17677658,0
43216,8869.99,43300.30425,-0.08,0,0.072052396,1
43217,9267.03,37241.34704,0.04,0,0.046871258,0
43218,8915.35,34759.62842,-0.04,0,4.48666E-06,1
43219,9348,38149.85004,0.05,0,0.06400173,1
43220,9417.04,35002.03388,0.01,0,0.054067607,0
43221,9246.01,41018.46363,-0.02,0,-0.038772383,0
43222,9071.48,26123.54396,-0.02,0,0.022715922,1
43223,9247.81,38768.38829,0.02,0,-0.002074019,1
43224,9750,28681.58888,0.05,0,0.093619432,0
43225,9714,24990.01835,0,0,0.03915276,1
43226,9863.99,27690.35156,0.02,0,0.047461835,0
43227,9661.02,33787.64001,-0.02,0,0.044885307,0
43228,9365,25533.83189,-0.03,0,0.032356352,0
43229,9178,25673.5249,-0.02,0,-0.007548814,1
43230,9310,25055.06372,0.01,0,-0.045128205,0
43231,9002.21,48227.04806,-0.03,0,-0.073274655,0
43232,8405.94,40241.32081,-0.07,0,-0.147815438,1
43233,8475.44,25632.86936,0.01,0,-0.122717891,1
43234,8679.71,37389.66653,0.02,0,-0.073175654,0
43235,8663.37,28126.95614,0,0,-0.056072129,0
43236,8462,31130.71891,-0.02,0,-0.091084855,0
